#16x16 Script Table for Lunar 2 v1.0
#Used http://www.rikai.com/library/kanjitables/kanji_codes.sjis.shtml
462,	郷
463,	鏡
#
464,	響
465,	驚
466,	仰
467,	業
468,	局
469,	曲
470,	極
471,	玉
472,	禁
473,	筋
474,	緊
475,	近
476,	金
477,	吟
478,	銀
479,	句
#
480,	区
481,	苦
482,	駆
483,	駒
484,	具
485,	愚
486,	空
487,	偶
488,	屈
489,	掘
490,	君
491,	訓
492,	軍
493,	係
494,	刑
495,	兄
#
496,	型
497,	契
498,	形
499,	恵
500,	敬
501,	景
502,	系
503,	経
504,	計
505,	軽
506,	芸
507,	迎
508,	迎
509,	撃
510,	欠
511,	決
#
512,	穴
513,	結
514,	血
515,	月
516,	件
517,	健
518,	剣
#end of sheet 2
519,	建
520,	拳
521,	検
522,	権
523,	犬
524,	研
525,	絹
526,	肩
527,	見
#
528,	賢
529,	軒
530,	険
531,	験
532,	元
533,	原
534,	幻
535,	減
536,	源
537,	玄
538,	現
539,	言
540,	限
541,	個
542,	古
543,	呼
#
544,	固
545,	孤
546,	己
547,	庫
548,	故
549,	湖
550,	互
551,	午
552,	後
553,	御
554,	悟
555,	語
556,	誤
557,	護
558,	交
559,	侯
#
560,	光
561,	公
562,	功
563,	効
564,	厚
565,	口
566,	向
567,	坑
568,	好
569,	工
570,	幸
571,	広
572,	康
573,	抗
574,	攻
575,	更
#
576,	校
577,	洪
578,	港
579,	甲
580,	皇
581,	硬
582,	紅
583,	考
584,	航
585,	荒
586,	行
587,	鉱
588,	鋼
589,	降
590,	香
591,	高
#
592,	号
593,	合
594,	豪
595,	刻
596,	告
597,	国
598,	黒
599,	腰
600,	骨
601,	込
602,	頃
603,	今
604,	困
605,	婚
606,	根
607,	混
#
608,	魂
609,	佐
610,	左
611,	差
612,	査
613,	差
614,	鎖
615,	座
616,	催
617,	再
618,	最
619,	妻
620,	才
621,	済
622,	災
623,	砕
#
624,	祭
625,	細
626,	在
627,	材
628,	罪
629,	財
630,	坂
631,	作
632,	削
633,	咋
634,	索
635,	札
636,	殺
637,	雑
638,	参
639,	山
#
640,	散
641,	産
642,	算
643,	斬
644,	残
645,	仕
646,	使
647,	刺
648,	司
649,	史
650,	士
651,	始
652,	姉
653,	姿
654,	子
655,	市
#
656,	師
657,	志
658,	思
659,	指
660,	支
661,	止
662,	死
663,	私
664,	糸
665,	紙
666,	至
667,	視
668,	詩
669,	試
670,	資
671,	資
#
672,	歯
673,	事
674,	児
675,	字
676,	慈
677,	持
678,	時
679,	次
680,	治
681,	示
682,	耳
683,	自
684,	式
685,	識
686,	失
687,	室
#
688,	疾
689,	質
690,	実
691,	芝
692,	写
693,	射
694,	捨
695,	社
696,	者
697,	謝
698,	車
699,	邪
700,	借
701,	若
702,	弱
703,	主
#
704,	取
705,	守
706,	手
707,	殊
708,	狩
709,	種
710,	酒
711,	首
712,	受
713,	呪
714,	寿
715,	授
716,	樹
717,	囚
718,	収
719,	周
#
720,	修
721,	秀
722,	終
723,	習
724,	舟
725,	襲
726,	讐
727,	週
728,	集
729,	住
730,	充
731,	従
732,	柔
733,	獣
734,	重
735,	銃
#
736,	宿
737,	祝
738,	熟
739,	出
740,	術
741,	春
742,	瞬
743,	準
744,	純
745,	順
746,	処
747,	初
748,	所
749,	暑
750,	書
751,	助
#
752,	女
753,	序
754,	除
755,	傷
756,	勝
757,	匠
758,	升
759,	召
760,	商
761,	将
762,	小
763,	少
764,	床
765,	承
766,	招
767,	掌
#
768,	昇
769,	晶
770,	消
771,	焼
772,	照
773,	症
774,	省
775,	称
776,	章
777,	笑
778,	紹
779,	証
780,	詳
781,	象
782,	上
783,	乗
#
784,	城
# End of Font 3
785,	場
786,	常
787,	情
788,	条
789,	杖
790,	浄
791,	状
792,	蒸
793,	飾
794,	植
795,	織
796,	職
797,	色
798,	食
799,	伸
#
800,	信
801,	侵
802,	侵
803,	心
804,	慎
805,	新
806,	森
807,	深
808,	申
809,	真
810,	神
811,	親
812,	身
813,	辛
814,	進
815,	震
#
816,	人
817,	刃
818,	陣
819,	図
820,	吹
821,	水
822,	粋
823,	酔
824,	数
825,	雀
826,	寸
827,	世
828,	制
829,	勢
830,	征
831,	性
#
832,	成
833,	整
834,	星
835,	晴
836,	正
837,	清
838,	牲
839,	生
840,	盛
841,	精
842,	聖
843,	声
844,	製
845,	西
846,	誠
847,	請
#
848,	青
849,	静
850,	惜
851,	昔
852,	石
853,	積
854,	責
855,	赤
856,	跡
857,	切
858,	接
859,	折
860,	設
861,	節
862,	説
863,	雪
#
864,	絶
865,	舌
866,	先
867,	千
868,	占
869,	宣
870,	専
871,	川
872,	戦
873,	扇
874,	泉
875,	洗
876,	染
877,	線
878,	船
879,	践
#
880,	選
881,	閃
882,	鮮
883,	前
884,	善
885,	然
886,	全
887,	狙
888,	祖
889,	粗
890,	素
891,	組
892,	僧
893,	創
894,	倉
895,	奏
#
896,	層
897,	想
898,	操
899,	早
900,	巣
901,	争
902,	相
903,	窓
904,	総
905,	草
906,	装
907,	走
908,	送
909,	像
910,	増
911,	憎
#
912,	臓
913,	蔵
914,	贈
915,	造
916,	側
917,	則
918,	息
919,	束
920,	足
921,	速
922,	俗
923,	属
924,	賊
925,	族
926,	続
927,	卒
#
928,	存
929,	孫
930,	尊
931,	損
932,	村
933,	他
934,	多
935,	太
936,	打
937,	舵
938,	体
939,	対
940,	帯
941,	待
942,	態
943,	替
#
944,	貸
945,	退
946,	隊
947,	代
948,	台
949,	大
950,	第
951,	題
952,	宅
953,	択
954,	達
955,	奪
956,	脱
957,	単
958,	担
959,	探
#
960,	炭
961,	短
962,	誕
963,	団
964,	弾
965,	断
966,	暖
967,	段
968,	男
969,	談
970,	値
971,	知
972,	地
973,	恥
974,	置
975,	致
#
976,	遅
977,	秩
978,	茶
979,	着
980,	中
981,	仲
982,	宙
983,	忠
984,	昼
985,	柱
986,	注
987,	虫
988,	貯
989,	丁
990,	兆
991,	張
#
992,	徴
993,	挑
994,	朝
995,	潮
996,	町
997,	聴
998,	蝶
999,	調
1000,	超
1001,	跳
1002,	長
1003,	頂
1004,	鳥
1005,	直
1006,	沈
1007,	珍
#
1008,	賃
1009,	追
1010,	痛
1011,	通
1012,	爪
1013,	亭
1014,	低
1015,	停
1016,	定
1017,	帝
1018,	底
1019,	庭
1020,	弟
1021,	抵
1022,	提
1023,	程
#
1024,	訂
1025,	敵
1026,	的
1027,	笛
1028,	適
1029,	鉄
1030,	天
1031,	展
1032,	店
1033,	転
1034,	点
1035,	伝
1036,	殿
1037,	田
1038,	電
1039,	渡
#
1040,	登
1041,	賭
1042,	途
1043,	都
1044,	努
1045,	度
1046,	土
1047,	怒
1048,	倒
1049,	党
1050,	冬	
# End of file 4
1051,	凍
1052,	刀
1053,	塔
1054,	島
1055,	投
#
1056,	東
1057,	盗
1058,	湯
1059,	灯
1060,	当
1061,	等
1062,	答
1063,	統
1064,	到
1065,	討
1066,	踏
1067,	逃
1068,	頭
1069,	闘
1070,	働
1071,	動
#
1072,	同
1073,	堂
1074,	導
1075,	洞
1076,	瞳
1077,	胴
1078,	道
1079,	得
1080,	徳
1081,	特
1082,	毒
1083,	独
1084,	読
1085,	突
1086,	届
1087,	沌
#
1088,	内
1089,	謎
1090,	南
1091,	難
1092,	肉
1093,	日
1094,	入
1095,	任
1096,	忍
1097,	認
1098,	猫
1099,	熱
1100,	年
1101,	念
1102,	燃
1103,	悩
#
1104,	納
1105,	能
1106,	波
1107,	派
1108,	破
1109,	馬
1110,	廃
1111,	拝
1112,	排
1113,	敗
1114,	杯
1115,	背
1116,	配
1117,	倍
1118,	買
1119,	売
#
1120,	博
1121,	拍
1122,	泊
1123,	白
1124,	迫
1125,	漠
1126,	爆
1127,	箱
1128,	畑
1129,	発
1130,	髪
1131,	伐
1132,	罰
1133,	抜
1134,	判
1135,	半
#
1136,	反
1137,	板
1138,	版
1139,	犯
1140,	般
1141,	販
1142,	範
1143,	飯
1144,	晩
1145,	番
1146,	彼
1147,	悲
1148,	比
1149,	疲
1150,	皮
1151,	秘
#  
1152,	被
1153,	費
1154,	避
1155,	非
1156,	飛
1157,	備
1158,	微
1159,	美
1160,	鼻
1161,	匹
1162,	必
1163,	筆
1164,	姫
1165,	百
1166,	標
1167,	氷
#
1168,	表
1169,	評
1170,	描
1171,	病
1172,	品
1173,	貧
1174,	不
1175,	付
1176,	夫
1177,	婦
1178,	富
1179,	布
1180,	怖
1181,	敷
1182,	普
1183,	浮
#
1184,	父
1185,	符
1186,	負
1187,	武
1188,	舞
1189,	部
1190,	封
1191,	風
1192,	伏
1193,	復
1194,	幅
1195,	服
1196,	福
1197,	腹
1198,	払
1199,	物
#
1200,	分
1201,	粉
1202,	雰
1203,	文
1204,	聞
1205,	兵
1206,	平
1207,	並
1208,	閉
1209,	壁
1210,	別
1211,	変
1212,	片
1213,	編
1214,	辺
1215,	返
#
1216,	便
1217,	勉
1218,	弁
1219,	保
1220,	捕
1221,	歩
1222,	補
1223,	募
1224,	墓
1225,	暮
1226,	母
1227,	包
1228,	報
1229,	奉
1230,	宝
1231,	崩
#
1232,	抱
1233,	放
1234,	方
1235,	法
1236,	砲
1237,	胞
1238,	蜂
1239,	訪
1240,	豊
1241,	亡
1242,	坊
1243,	妨
1244,	忘
1245,	房
1246,	暴
1247,	望
#
1248,	棒
1249,	冒
1250,	貌
1251,	貿
1252,	防
1253,	北
1254,	牧
1255,	没
1256,	堀
1257,	本
1258,	凡
1259,	魔
1260,	麻
1261,	妹
1262,	枚
1263,	毎
#
1264,	末
1265,	万
1266,	満
1267,	味
1268,	未
1269,	魅
1270,	密
1271,	妙
1272,	民
1273,	眠
1274,	務
1275,	夢
1276,	無
1277,	娘
1278,	名
1279,	命
#
1280,	明
1281,	迷
1282,	鳴
1283,	滅
1284,	面
1285,	茂
1286,	毛
1287,	猛
1288,	木
1289,	目
1290,	戻
1291,	問
1292,	紋
1293,	門
1294,	夜
1295,	野
#
1296,	矢
1297,	役
1298,	約
1299,	薬
1300,	訳
1301,	躍
1302,	油
1303,	唯
1304,	優
1305,	勇
1306,	友
1307,	幽
1308,	有
1309,	由
1310,	誘
1311,	遊
#
1312,	郵
1313,	雄
1314,	夕
1315,	予
1316,	余
# End of File 5
1317,	与
1318,	誉
1319,	預
1320,	幼
1321,	妖
1322,	容
1323,	様
1324,	溶
1325,	用
1326,	羊
1327,	葉
#
1328,	要
1329,	踊
1330,	陽
1331,	養
1332,	欲
1333,	浴
1334,	裸
1335,	来
1336,	頼
1337,	雷
1338,	絡
1339,	落
1340,	乱
1341,	嵐
1342,	利
1343,	理
#
1344,	裏
1345,	里
1346,	離
1347,	陸
1348,	率
1349,	立
1350,	流
1351,	留
1352,	竜
1353,	旅
1354,	了
1355,	両
1356,	凌
1357,	料
1358,	涼
1359,	療
#
1360,	糧
1361,	良
1362,	量
1363,	領
1364,	力
1365,	緑
1366,	臨
1367,	輪
1368,	涙
1369,	類
1370,	令
1371,	例
1372,	冷
1373,	礼
1374,	霊
1375,	歴
#
1376,	列
1377,	烈
1378,	裂
1379,	恋
1380,	練
1381,	連
1382,	呂
1383,	路
1384,	露
1385,	労
1386,	牢
1387,	狼
1388,	老
1389,	郎
1390,	録
1391,	論
#
1392,	和
# Begin out of order stuff
1393,	話
1394,	惑
1395,	腕
1396,	巫
1397,	翔
1398,	賞
1399,	塩
1400,	督
1401,	策
1402,	秋
1403,	朽
1404,	昏
1405,	厳
1406,	還
1407,	激
#
1408,	稲
1409,	障
1410,	灼
1411,	胡
# Row 2 of out of order stuff
1412,	旋
1413,	衝
1414,	珠
1415,	窟
1416,	銘
1417,	裁
1418,	虎
1419,	冠
1420,	盾
1421,	豹
1422,	皆
1423,	兜
#
1424,	獅
1425,	鈴
1426,	阿
1427,	羅
1428,	耐
1429,	鳳
1430,	凰
# Last row of out of order stuff
1431,	蛇
1432,	敏
1433,	捷
1434,	複
1435,	-
1436,	、
1437,	継
1438,	：
1439,	貫
