Need to verify all of this?,,
Saturn File #,PSX Filename,
1494,./SCN/CDE1167.DAT:9467:ES,
1495,./SCN/CDE1175.DAT:11472:ES,
1496,./SCN/CDE1177.DAT:7602:ES,
1497,./SCN/CDE1180.DAT:9840:ES,
1498,./SCN/CDE1187.DAT:6659:ES,
1499,./SCN/CDE1190.DAT:7450:ES,
1500,./SCN/CDE1195.DAT:5761:ES,
1501,./SCN/CDE1200.DAT:5300:ES,
1502,./SCN/CDE1210.DAT:21900:ES,
1503,./SCN/CDE1230.DAT:28986:ES,
1504,./SCN/CDE1240.DAT:2258:ES,
1505,./SCN/CDE1260.DAT:12605:ES,
1506,./SCN/CDE1270.DAT:7667:ES,
1507,./SCN/CDE1280.DAT:20524:ES,
1508,./SCN/CDE1285.DAT:1946:ES,
1509,./SCN/CDE1290.DAT:11782:ES,
1510,./SCN/CDE1300.DAT:10733:ES,
1511,./SCN/CDE1330.DAT:1767:ES,
1512,./SCN/CDE1340.DAT:7584:ES,
1513,./SCN/CDE1350.DAT:43210:ES,
1514,./SCN/CDE1360.DAT:1634:ES,
1515,./SCN/CDE1370.DAT:1757:ES,
1516,./SCN/CDE1380.DAT:2924:ES,
1517,./SCN/CDE1390.DAT:3391:ES,
1518,./SCN/CDE1405.DAT:220:ES,
1519,./SCN/CDE1410.DAT:6465:ES,
1520,./SCN/CDE1420.DAT:15292:ES,
1521,./SCN/CDE1425.DAT:189:ES,
1522,./SCN/CDE1430.DAT:8014:ES,
1523,./SCN/CDE1440.DAT:9227:ES,
1524,./SCN/CDE1445.DAT:1407:ES,
1525,./SCN/CDE1448.DAT:348:ES,
1526,./SCN/CDE1450.DAT:310:ES,
1527,./SCN/CDE1460.DAT:606:ES,
1528,./SCN/CDE1470.DAT:5761:ES,
1529,./SCN/CDE1480.DAT:9801:ES,
1530,./SCN/CDE1490.DAT:1071:ES,
1531,./SCN/CDE1500.DAT:1079:ES,
1532,./SCN/CDE1510.DAT:1079:ES,
1533,./SCN/CDE1520.DAT:1612:ES,
1534,./SCN/CDE1545.DAT:1073:ES,
1535,./SCN/CDE1550.DAT:5917:ES,
1536,./SCN/CDE1560.DAT:2292:ES,
1537,./SCN/CDE1600.DAT:1948:ES,
1538,./SCN/CDE1650.DAT:6462:ES,
1539,????????,
1540,./SCN/SMPG0420.DAT:0:ES,
1541,./SCN/SMPG0424.DAT:0:ES,
1542,./SCN/SMPG0428.DAT:0:ES,
1543,./SCN/SMPG042C.DAT:0:ES,
1544,./SCN/SMPG0434.DAT:0:ES,
1545,./SCN/SMPG0A00.DAT:0:ES,Confirmed these two are equivalent
1546,./SCN/SMPG0A04.DAT:0:ES,
1547,./SCN/SMPG0A08.DAT:0:ES,
1548,./SCN/SMPG0A0C.DAT:0:ES,
1549,./SCN/SMPG0A10.DAT:0:ES,
1550,./SCN/SMPG0A14.DAT:0:ES,
1551,./SCN/SMPG0A1C.DAT:0:ES,
1552,./SCN/SMPG0A20.DAT:0:ES,
1553,./SCN/SMPG0A2C.DAT:0:ES,
1554,./SCN/SMPG0A30.DAT:0:ES,
1555,./SCN/SMPG0A44.DAT:0:ES,
1556,./SCN/SMPG1800.DAT:0:ES,
1557,./SCN/SMPG1804.DAT:0:ES,
1558,./SCN/SMPG1808.DAT:0:ES,
1559,./SCN/SMPG180C.DAT:0:ES,
1560,./SCN/SMPG2000.DAT:0:ES,
1561,./SCN/SMPG2024.DAT:0:ES,
1562,./SCN/SMPG2400.DAT:0:ES,
1563,./SCN/SMPG2800.DAT:0:ES,
1564,./SCN/SMPG2C00.DAT:0:ES,
1565,./SCN/SMPG2C01.DAT:0:ES,
1566,./SCN/SMPG2C08.DAT:0:ES,
1567,./SCN/SMPG2C0C.DAT:0:ES,
1568,./SCN/SMPG2C24.DAT:0:ES,
1569,./SCN/SMPG3000.DAT:0:ES,
1570,./SCN/SMPG3400.DAT:0:ES,
1571,./SCN/SMPG3800.DAT:0:ES,
1572,./SCN/SMPG3C00.DAT:0:ES,
1573,./SCN/SMPG3C04.DAT:0:ES,
1574,./SCN/SMPG3C0C.DAT:0:ES,
1575,./SCN/SMPG4000.DAT:0:ES,
1576,./SCN/SMPG4030.DAT:0:ES,
1577,./SCN/SMPG4050.DAT:0:ES,
1578,./SCN/SMPG4400.DAT:0:ES,
1579,./SCN/SMPG4800.DAT:0:ES,
1580,./SCN/SMPG4C00.DAT:0:ES,
1581,./SCN/SMPG5000.DAT:0:ES,
1582,./SCN/SMPG5005.DAT:0:ES,
1583,./SCN/SMPG5048.DAT:0:ES,
1584,./SCN/SMPG5080.DAT:0:ES,
1585,./SCN/SMPG5400.DAT:0:ES,
1586,./SCN/SMPG5C00.DAT:0:ES,
1587,./SCN/SMPG5C80.DAT:0:ES,
1588,./SCN/SMPG6000.DAT:0:ES,
1589,./SCN/SMPG6400.DAT:0:ES,
1590,./SCN/SMPG6800.DAT:0:ES,
1591,./SCN/SMPG6C00.DAT:0:ES,
1592,./SCN/SMPG6C04.DAT:0:ES,
1593,./SCN/SMPG7000.DAT:0:ES,
1594,./SCN/SMPG7400.DAT:0:ES,
1595,./SCN/SMPG7410.DAT:0:ES,
1596,./SCN/SMPG7800.DAT:0:ES,
